Batch,Epoch,MSE_Loss
0,0,1.872989296913147
1,0,1.0286376476287842
2,0,1.2236003875732422
3,0,1.0068442821502686
4,0,1.0043500661849976
5,0,0.997864842414856
6,0,0.9437652826309204
7,0,1.1495016813278198
8,1,0.9670203924179077
9,1,0.994937539100647
10,1,0.847717821598053
11,1,0.9188461899757385
12,1,0.7866624593734741
13,1,0.6711825728416443
14,1,0.6197746396064758
15,1,0.6609864234924316
16,2,0.7805818915367126
17,2,0.6864826083183289
18,2,0.5245079398155212
19,2,0.6373361349105835
20,2,0.5339937806129456
21,2,0.5845745205879211
22,2,0.5955535769462585
23,2,0.5094058513641357
24,3,0.7366288900375366
25,3,0.47706013917922974
26,3,0.5439997315406799
27,3,0.4682781994342804
28,3,0.6910842061042786
29,3,0.6039643287658691
30,3,0.5785209536552429
31,3,0.34455257654190063
32,4,0.534375786781311
33,4,0.44352099299430847
34,4,0.4750553071498871
35,4,0.4445093870162964
36,4,0.5133805871009827
37,4,0.4509078562259674
38,4,0.45823052525520325
39,4,0.367840051651001
40,5,0.5277608633041382
41,5,0.4199264645576477
42,5,0.48748475313186646
43,5,0.3976339101791382
44,5,0.4505161941051483
45,5,0.4375933110713959
46,5,0.5702042579650879
47,5,0.38797450065612793
48,6,0.38674378395080566
49,6,0.3911447823047638
50,6,0.48091843724250793
51,6,0.35729315876960754
52,6,0.5258176326751709
53,6,0.27753138542175293
54,6,0.33785027265548706
55,6,0.41267916560173035
56,7,0.3234480321407318
57,7,0.4940456449985504
58,7,0.49147143959999084
59,7,0.35824695229530334
60,7,0.39022204279899597
61,7,0.2449289709329605
62,7,0.413960337638855
63,7,0.3419768512248993
64,8,0.301557719707489
65,8,0.2682877779006958
66,8,0.3998892903327942
67,8,0.3574799597263336
68,8,0.4072877764701843
69,8,0.4541096091270447
70,8,0.27630022168159485
71,8,0.3660549223423004
72,9,0.3689027428627014
73,9,0.39890408515930176
74,9,0.37861064076423645
75,9,0.2823391854763031
76,9,0.3329717516899109
77,9,0.29783734679222107
78,9,0.31734246015548706
79,9,0.22177758812904358
80,10,0.4062923192977905
81,10,0.3279817998409271
82,10,0.32490086555480957
83,10,0.33870643377304077
84,10,0.2555578351020813
85,10,0.3824816644191742
86,10,0.20464485883712769
87,10,0.20568841695785522
88,11,0.2056283801794052
89,11,0.27061617374420166
90,11,0.18348228931427002
91,11,0.34529927372932434
92,11,0.28515902161598206
93,11,0.39969027042388916
94,11,0.23780378699302673
95,11,0.38250619173049927
96,12,0.22140660881996155
97,12,0.3009517192840576
98,12,0.29177820682525635
99,12,0.3657909333705902
100,12,0.24650152027606964
101,12,0.4744383990764618
102,12,0.2154436558485031
103,12,0.22005334496498108
104,13,0.24062438309192657
105,13,0.41925087571144104
106,13,0.26727044582366943
107,13,0.30738648772239685
108,13,0.2753872275352478
109,13,0.27582356333732605
110,13,0.22047016024589539
111,13,0.34252968430519104
112,14,0.4809611439704895
113,14,0.3530806303024292
114,14,0.2543448209762573
115,14,0.311263769865036
116,14,0.27569353580474854
117,14,0.3085319995880127
118,14,0.3293835520744324
119,14,0.29795804619789124
120,15,0.37832343578338623
121,15,0.28567707538604736
122,15,0.22222818434238434
123,15,0.2111920863389969
124,15,0.19724036753177643
125,15,0.275214821100235
126,15,0.3504699468612671
127,15,0.3214511573314667
128,16,0.19802768528461456
129,16,0.1691729724407196
130,16,0.1952095925807953
131,16,0.23502403497695923
132,16,0.28454333543777466
133,16,0.406565397977829
134,16,0.2892947196960449
135,16,0.30143746733665466
136,17,0.187665656208992
137,17,0.26787564158439636
138,17,0.2793191075325012
139,17,0.2181898057460785
140,17,0.19987629354000092
141,17,0.2325621247291565
142,17,0.19791442155838013
143,17,0.25855374336242676
144,18,0.3152279257774353
145,18,0.22418081760406494
146,18,0.14775151014328003
147,18,0.14755798876285553
148,18,0.18982888758182526
149,18,0.17034688591957092
150,18,0.2213003933429718
151,18,0.29236680269241333
152,19,0.21664223074913025
153,19,0.37144744396209717
154,19,0.3678371012210846
155,19,0.12859965860843658
156,19,0.19655536115169525
157,19,0.2187539041042328
158,19,0.2155718356370926
159,19,0.2653150260448456
160,20,0.18918895721435547
161,20,0.2710530757904053
162,20,0.15872369706630707
163,20,0.1385764628648758
164,20,0.21923884749412537
165,20,0.15009155869483948
166,20,0.12170157581567764
167,20,0.2730279862880707
168,21,0.20383475720882416
169,21,0.3131115436553955
170,21,0.17853422462940216
171,21,0.16310548782348633
172,21,0.1672619879245758
173,21,0.3082345128059387
174,21,0.11715064942836761
175,21,0.1378706693649292
176,22,0.2382061928510666
177,22,0.3206562101840973
178,22,0.19111216068267822
179,22,0.310428649187088
180,22,0.16147466003894806
181,22,0.279453843832016
182,22,0.16390876471996307
183,22,0.10573888570070267
184,23,0.18095818161964417
185,23,0.13827161490917206
186,23,0.28053057193756104
187,23,0.24506227672100067
188,23,0.198384091258049
189,23,0.3739403188228607
190,23,0.23121684789657593
191,23,0.23304714262485504
192,24,0.25020545721054077
193,24,0.11108970642089844
194,24,0.21820946037769318
195,24,0.22789639234542847
196,24,0.23703935742378235
197,24,0.3030729591846466
198,24,0.2909967005252838
199,24,0.17724916338920593
200,25,0.14605972170829773
201,25,0.15000486373901367
202,25,0.2522846460342407
