Batch,Epoch,MSE_Loss
0,0,1.3848648071289062
1,0,1.321181058883667
2,0,1.0239852666854858
3,0,1.1651626825332642
4,0,0.8512971997261047
5,0,0.7611775994300842
6,0,0.7028419375419617
7,0,0.8039411902427673
8,1,0.6406353712081909
9,1,0.9485024809837341
10,1,0.595096230506897
11,1,0.8168267607688904
12,1,0.8081194162368774
13,1,0.6293004751205444
14,1,0.632686972618103
15,1,0.6754030585289001
16,2,0.7044059038162231
17,2,0.569632887840271
18,2,0.5519035458564758
19,2,0.6258940696716309
20,2,0.552085816860199
21,2,0.644408106803894
22,2,0.5433226227760315
23,2,0.5365245342254639
24,3,0.6163302659988403
25,3,0.6813063621520996
26,3,0.5681688189506531
27,3,0.5675560832023621
28,3,0.6931889057159424
29,3,0.4503815472126007
30,3,0.6220752000808716
31,3,0.5015467405319214
32,4,0.46706297993659973
33,4,0.4950430989265442
34,4,0.5242357850074768
35,4,0.5073713660240173
36,4,0.5280841588973999
37,4,0.4501163363456726
38,4,0.5010343790054321
39,4,0.43698620796203613
40,5,0.39845144748687744
41,5,0.49103909730911255
42,5,0.3432956039905548
43,5,0.4662734270095825
44,5,0.44639113545417786
45,5,0.45954620838165283
46,5,0.45074978470802307
47,5,0.3248409330844879
48,6,0.37236741185188293
49,6,0.3498966097831726
50,6,0.42099350690841675
51,6,0.28890901803970337
52,6,0.3551708459854126
53,6,0.44359728693962097
54,6,0.436113178730011
55,6,0.38123825192451477
56,7,0.395742267370224
57,7,0.274910569190979
58,7,0.2628718614578247
59,7,0.5199984312057495
60,7,0.37792256474494934
61,7,0.31057608127593994
62,7,0.3225788474082947
63,7,0.2813127636909485
64,8,0.23703446984291077
65,8,0.27661120891571045
66,8,0.4302494525909424
67,8,0.25839969515800476
68,8,0.3099783658981323
69,8,0.3295094668865204
70,8,0.31721335649490356
71,8,0.4172445237636566
72,9,0.3524719178676605
73,9,0.28526726365089417
74,9,0.353485643863678
75,9,0.26068997383117676
76,9,0.3253173828125
77,9,0.36429232358932495
78,9,0.2608530819416046
79,9,0.20770268142223358
80,10,0.21913352608680725
81,10,0.33305615186691284
82,10,0.31327176094055176
83,10,0.25057876110076904
84,10,0.19727236032485962
85,10,0.2593144178390503
86,10,0.343362033367157
87,10,0.33146995306015015
88,11,0.49023202061653137
89,11,0.36975571513175964
90,11,0.383113831281662
91,11,0.1896524280309677
92,11,0.34935635328292847
93,11,0.22749845683574677
94,11,0.32484015822410583
95,11,0.2754599153995514
96,12,0.2725277841091156
97,12,0.2872028350830078
98,12,0.20408132672309875
99,12,0.30142077803611755
100,12,0.2487371414899826
101,12,0.3506874740123749
102,12,0.2967971861362457
103,12,0.2293890416622162
104,13,0.2939926087856293
105,13,0.2675997018814087
106,13,0.24920368194580078
107,13,0.3048689365386963
108,13,0.21992358565330505
109,13,0.2713319659233093
110,13,0.23832741379737854
111,13,0.22533027827739716
112,14,0.21705104410648346
113,14,0.23456473648548126
114,14,0.20005446672439575
115,14,0.24601730704307556
116,14,0.19715480506420135
117,14,0.3344202935695648
118,14,0.28697964549064636
119,14,0.3397270441055298
120,15,0.20195090770721436
121,15,0.27944856882095337
122,15,0.28265270590782166
123,15,0.2680701017379761
124,15,0.2476627379655838
125,15,0.22174835205078125
126,15,0.4473671317100525
127,15,0.2089269608259201
128,16,0.25435760617256165
129,16,0.29780131578445435
130,16,0.2437182366847992
131,16,0.2263619750738144
132,16,0.2391839474439621
133,16,0.23991042375564575
134,16,0.16251040995121002
135,16,0.30005139112472534
136,17,0.26541003584861755
137,17,0.38174816966056824
138,17,0.3808845281600952
139,17,0.2602160573005676
