Batch,Epoch,MSE_Loss
0,0,1.3738555908203125
1,0,12.025426864624023
2,0,0.9912573099136353
3,0,2.289069652557373
4,0,2.7716376781463623
5,0,1.5544718503952026
6,0,0.9847199320793152
7,0,1.0986154079437256
8,1,1.1414872407913208
9,1,1.0706870555877686
10,1,0.9670231342315674
11,1,0.864270031452179
12,1,0.9751218557357788
13,1,1.017866611480713
14,1,1.0509748458862305
15,1,0.8830927014350891
16,2,1.0147120952606201
17,2,0.9867321848869324
18,2,1.0010194778442383
19,2,0.9169203042984009
20,2,0.994892954826355
21,2,0.9590654969215393
22,2,0.7217535972595215
23,2,0.8681018948554993
24,3,0.9401694536209106
25,3,0.8527309894561768
26,3,0.996829628944397
27,3,0.9973452687263489
28,3,1.006288766860962
29,3,0.8804585337638855
30,3,0.8624398708343506
31,3,0.9355341196060181
32,4,0.744162380695343
33,4,0.5854588150978088
34,4,0.8145104050636292
35,4,0.5678773522377014
36,4,0.7660266757011414
37,4,0.6849397420883179
38,4,0.6876723766326904
39,4,0.7090814113616943
40,5,0.8315694332122803
41,5,0.6791236996650696
42,5,0.5849513411521912
43,5,0.4545661211013794
44,5,0.29574036598205566
45,5,0.40356677770614624
46,5,0.3888428211212158
47,5,0.45064103603363037
48,6,0.5158284306526184
49,6,0.5270777940750122
50,6,0.5118952393531799
51,6,0.5061271786689758
52,6,0.5515444278717041
53,6,0.3259521722793579
54,6,0.5755615830421448
55,6,0.372498482465744
56,7,0.33323153853416443
57,7,0.46002456545829773
58,7,0.313396155834198
59,7,0.4795323312282562
60,7,0.5527817010879517
61,7,0.4152495861053467
62,7,0.38232800364494324
63,7,0.3613320589065552
64,8,0.4432867169380188
65,8,0.4250345528125763
66,8,0.24464473128318787
67,8,0.36525508761405945
68,8,0.3839613199234009
69,8,0.31842026114463806
70,8,0.22746151685714722
71,8,0.2551513612270355
72,9,0.3688052296638489
73,9,0.4147965908050537
74,9,0.32029446959495544
75,9,0.403564453125
76,9,0.28577715158462524
77,9,0.16950790584087372
78,9,0.40452414751052856
79,9,0.26787570118904114
80,10,0.2220795452594757
81,10,0.314889520406723
82,10,0.22250886261463165
83,10,0.33160412311553955
84,10,0.4837663173675537
85,10,0.2513684928417206
86,10,0.22257690131664276
87,10,0.182552769780159
88,11,0.3442433178424835
89,11,0.34807541966438293
90,11,0.2318098098039627
91,11,0.31031522154808044
92,11,0.21406860649585724
93,11,0.216434046626091
94,11,0.16784237325191498
95,11,0.24473808705806732
96,12,0.19701124727725983
97,12,0.26968592405319214
98,12,0.5905985832214355
99,12,0.45794838666915894
100,12,0.22014150023460388
101,12,0.46008774638175964
102,12,0.3396395146846771
103,12,0.3184538185596466
104,13,0.4038986563682556
105,13,0.22146540880203247
106,13,0.37484627962112427
107,13,0.30419912934303284
108,13,0.27635958790779114
109,13,0.17942199110984802
110,13,0.2764131426811218
111,13,0.18500758707523346
112,14,0.15612481534481049
113,14,0.18336662650108337
114,14,0.3858448266983032
115,14,0.27541884779930115
116,14,0.34682801365852356
117,14,0.41822272539138794
118,14,0.18374858796596527
119,14,0.33521321415901184
120,15,0.19235177338123322
121,15,0.30692917108535767
122,15,0.19022464752197266
123,15,0.2102271318435669
124,15,0.4263685643672943
125,15,0.2683105170726776
126,15,0.312247097492218
127,15,0.23381520807743073
128,16,0.3240882158279419
129,16,0.3065682649612427
130,16,0.13979791104793549
131,16,0.465687096118927
132,16,0.25801533460617065
133,16,0.17596955597400665
134,16,0.20652252435684204
135,16,0.1687580645084381
136,17,0.3163217604160309
137,17,0.15725195407867432
138,17,0.2791440784931183
139,17,0.13274814188480377
140,17,0.24538570642471313
141,17,0.11203783750534058
142,17,0.1316290646791458
143,17,0.18300630152225494
144,18,0.16372136771678925
145,18,0.22640424966812134
146,18,0.1617647409439087
147,18,0.2688809633255005
148,18,0.11137107759714127
149,18,0.17938776314258575
150,18,0.17776863276958466
151,18,0.13505816459655762
152,19,0.10845678299665451
153,19,0.14292943477630615
154,19,0.2802688181400299
155,19,0.1958869993686676
156,19,0.23393020033836365
157,19,0.13423077762126923
158,19,0.173905149102211
159,19,0.16339410841464996
160,20,0.26863107085227966
161,20,0.12497737258672714
162,20,0.20645271241664886
163,20,0.21083122491836548
164,20,0.18668965995311737
165,20,0.161571204662323
166,20,0.18959006667137146
167,20,0.1792939007282257
168,21,0.14520807564258575
169,21,0.11088520288467407
170,21,0.11888308823108673
171,21,0.19805069267749786
172,21,0.2572425901889801
173,21,0.22462812066078186
174,21,0.1295277178287506
175,21,0.15562613308429718
176,22,0.23366208374500275
177,22,0.15084689855575562
178,22,0.42912644147872925
179,22,0.19658081233501434
180,22,0.1321832686662674
181,22,0.24116691946983337
182,22,0.22918164730072021
183,22,0.15117959678173065
184,23,0.13961240649223328
185,23,0.2306929975748062
186,23,0.11838804930448532
187,23,0.23626810312271118
188,23,0.14484839141368866
189,23,0.19712521135807037
190,23,0.16467338800430298
191,23,0.14290297031402588
192,24,0.25490862131118774
193,24,0.19590884447097778
194,24,0.2345999926328659
195,24,0.14524243772029877
196,24,0.1361275464296341
197,24,0.16190677881240845
198,24,0.20403268933296204
199,24,0.110604427754879
200,25,0.3205592632293701
201,25,0.21273796260356903
202,25,0.20777836441993713
203,25,0.16571976244449615
204,25,0.14104847609996796
205,25,0.18253585696220398
206,25,0.13332785665988922
207,25,0.2552441954612732
208,26,0.2948233485221863
209,26,0.1597803682088852
210,26,0.19333204627037048
211,26,0.1263532042503357
212,26,0.14007914066314697
213,26,0.16589272022247314
214,26,0.2637972831726074
215,26,0.28595778346061707
216,27,0.17448186874389648
217,27,0.20897510647773743
218,27,0.22933755815029144
219,27,0.2222234606742859
220,27,0.10412606596946716
221,27,0.14609596133232117
222,27,0.16249309480190277
223,27,0.1984994262456894
224,28,0.12065986543893814
225,28,0.22191503643989563
226,28,0.34409499168395996
227,28,0.11017178744077682
228,28,0.20288142561912537
229,28,0.1706380993127823
230,28,0.1509658545255661
231,28,0.23920977115631104
232,29,0.11069954931735992
233,29,0.288322389125824
234,29,0.21762682497501373
235,29,0.24837614595890045
236,29,0.21314752101898193
237,29,0.1693674474954605
238,29,0.13766592741012573
239,29,0.1158297136425972
240,30,0.18441087007522583
241,30,0.19074687361717224
242,30,0.16136741638183594
243,30,0.16636468470096588
244,30,0.2037239521741867
245,30,0.24845176935195923
246,30,0.10719595849514008
247,30,0.16566257178783417
248,31,0.09541440010070801
249,31,0.14332471787929535
250,31,0.09130720049142838
251,31,0.2877683937549591
252,31,0.1254081130027771
253,31,0.14016900956630707
254,31,0.1514868438243866
255,31,0.1723722517490387
256,32,0.111348956823349
257,32,0.12208381295204163
258,32,0.14895226061344147
259,32,0.27089232206344604
260,32,0.09822603315114975
261,32,0.12055490165948868
262,32,0.14675503969192505
263,32,0.21947477757930756
264,33,0.22123104333877563
265,33,0.179428368806839
266,33,0.26774218678474426
267,33,0.15076026320457458
268,33,0.17802675068378448
269,33,0.1145741268992424
270,33,0.18537907302379608
271,33,0.2775324285030365
272,34,0.20572960376739502
273,34,0.24739035964012146
274,34,0.13393040001392365
275,34,0.1875280737876892
276,34,0.16380882263183594
277,34,0.12327933311462402
278,34,0.16551893949508667
279,34,0.2148076444864273
